,Medicina General,Ciències Bàsiques,Patologia i Farmacologia,Cirurgia,Pediatria i Ginecologia
Medicina General,0.0,0.2649584710597992,0.2441769391298294,0.23424431681632996,0.2416670024394989
Ciències Bàsiques,0.2649584710597992,0.0,0.23027987778186798,0.2480795830488205,0.2240365892648697
Patologia i Farmacologia,0.2441769391298294,0.23027987778186798,0.0,0.21422581374645233,0.21769779920578003
Cirurgia,0.23424431681632996,0.2480795830488205,0.21422581374645233,0.0,0.2062178999185562
Pediatria i Ginecologia,0.2416670024394989,0.2240365892648697,0.21769779920578003,0.2062178999185562,0.0
